directory,avg_clip_score,num_images
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_1,0.3212705078125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_2,0.315853515625,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_2_ema,0.31772900390625,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_3,0.3201585693359375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_3_ema,0.319568603515625,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_4,0.319979248046875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_4_ema,0.3199447021484375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_5e-3__disc_1e-3/epoch_1_ema,0.320608154296875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_1,0.320958251953125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_3,0.3192403564453125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_3_ema,0.3208914794921875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_5e-4__enc3_5e-4__disc_1e-3/epoch_1,0.3215892333984375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_5e-4__enc3_5e-4__disc_1e-3/epoch_3,0.3173984375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-3__enc2_5e-4__enc3_5e-4__disc_1e-3/epoch_3_ema,0.321348388671875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_1e-3__enc3_5e-3__disc_1e-3/epoch_1,0.3225074462890625,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_1,0.3218194580078125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_3,0.32193017578125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_4,0.3169345703125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_1e-3__enc3_5e-4__disc_1e-3/epoch_4_ema,0.3196134033203125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_5e-4__enc3_1e-3__disc_1e-3/epoch_5,0.3193648681640625,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_5e-4__enc3_1e-3__disc_1e-3/epoch_5_ema,0.319908203125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_1e-4__enc2_5e-4__enc3_5e-4__disc_1e-3/epoch_5_ema,0.31971435546875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_2,0.31772216796875,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-3__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_2_ema,0.32008349609375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-3__enc2_1e-4__enc3_5e-4__disc_1e-3/epoch_4_ema,0.313811767578125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-3__enc2_5e-4__enc3_1e-3__disc_1e-3/epoch_2,0.31936328125,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-3__enc2_5e-4__enc3_1e-3__disc_1e-3/epoch_2_ema,0.31919677734375,1000
../../scratch/adversarial_erasure/coco/adv_1.0__enc1_5e-4__enc2_1e-3__enc3_1e-3__disc_1e-3/epoch_2,0.3191585693359375,1000
../../scratch/adversarial_erasure/coco/orig,0.3225328369140625,1000
